t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
892,0,1243,3179,2723,2768,2942,1.28,-1.24,10.25,-0.02,-0.01,-0.04
912,0,1244,3178,2717,2763,2940,1.36,-1.32,10.17,-0.01,-0.02,-0.04
932,0,1245,3177,2718,2763,2942,1.38,-1.20,10.06,0.01,-0.01,-0.03
952,0,1242,3177,2716,2769,2945,1.42,-1.13,10.13,-0.02,-0.00,-0.03
972,0,1244,3174,2718,2764,2945,1.32,-1.22,10.19,-0.04,0.01,-0.02
992,0,1246,3176,2723,2762,2946,1.40,-1.18,10.22,-0.07,0.00,-0.01
1012,0,1244,3174,2719,2758,2948,1.34,-1.19,10.16,-0.04,0.02,-0.00
1032,0,1246,3175,2717,2758,2951,1.32,-1.20,10.13,-0.03,-0.01,-0.00
1052,0,1244,3175,2722,2766,2950,1.36,-1.20,10.16,-0.02,-0.01,-0.01
1072,0,1245,3177,2723,2756,2950,1.38,-1.21,10.05,-0.05,-0.00,-0.01
1092,0,1244,3174,2718,2763,2950,1.37,-1.16,10.07,-0.05,0.04,-0.01
1112,0,1247,3179,2719,2766,2950,1.37,-1.16,10.12,-0.04,0.02,-0.00
1132,0,1245,3174,2720,2764,2950,1.34,-1.10,10.23,-0.03,0.03,-0.00
1152,0,1244,3173,2714,2756,2950,1.39,-1.12,10.25,-0.05,0.01,0.01
1172,0,1245,3172,2717,2754,2953,1.35,-1.33,10.08,-0.03,0.03,-0.00
1192,0,1247,3174,2715,2753,2951,1.36,-1.24,9.95,-0.00,0.02,-0.02
1212,0,1245,3176,2716,2753,2958,1.45,-1.18,10.12,-0.01,0.04,-0.01
1232,0,1243,3173,2715,2753,2946,1.35,-1.18,10.16,-0.03,0.04,-0.00
1252,0,1243,3173,2723,2750,2953,1.33,-1.15,10.21,-0.01,0.04,-0.02
1272,0,1247,3177,2717,2753,2950,1.36,-1.16,10.31,-0.04,0.02,-0.01
1292,0,1245,3171,2720,2741,2950,1.34,-1.25,10.13,-0.01,0.02,-0.01
1312,0,1246,3171,2718,2754,2949,1.35,-1.24,10.14,0.00,0.01,-0.00
1332,0,1246,3172,2721,2749,2953,1.39,-1.11,10.20,-0.04,0.03,-0.00
1352,0,1249,3174,2709,2751,2951,1.27,-1.26,10.09,-0.06,0.06,-0.00
1372,0,1246,3171,2705,2757,2949,1.23,-1.27,10.09,-0.05,0.03,-0.01
1392,0,1246,3174,2704,2755,2950,1.33,-1.14,10.10,-0.02,0.01,-0.02
1412,0,1245,3171,2705,2756,2951,1.38,-1.10,10.22,-0.05,0.03,-0.01
1432,0,1247,3172,2708,2749,2955,1.31,-1.21,10.00,-0.04,0.04,-0.01
1452,0,1244,3170,2701,2746,2949,1.34,-1.23,10.13,-0.00,0.02,-0.02
1472,0,1246,3174,2706,2759,2951,1.40,-1.21,10.05,-0.00,0.02,-0.03
1492,0,1245,3173,2708,2749,2956,1.39,-1.01,10.14,-0.03,0.01,-0.01
1512,0,1245,3170,2705,2746,2961,1.38,-1.13,10.05,-0.06,0.03,-0.01
1532,0,1248,3168,2706,2746,2949,1.26,-1.32,9.96,-0.00,0.02,-0.02
1552,0,1246,3171,2707,2746,2950,1.24,-1.32,9.89,0.04,0.02,-0.02
1572,0,1258,3166,2698,2742,2953,1.20,-1.71,9.80,0.16,0.03,-0.03
1592,0,1249,3164,2696,2741,2949,0.91,-1.84,10.12,0.35,0.09,-0.04
1612,0,1259,3161,2677,2736,2939,0.95,-1.58,10.16,0.51,0.17,-0.11
1632,0,1274,3152,2668,2651,2907,0.64,-1.64,10.20,0.54,0.33,-0.24
1652,0,1316,3136,2626,2553,2843,0.34,-1.49,10.48,0.49,0.24,-0.37
1672,0,1306,3108,2521,2488,2697,0.47,-1.66,10.66,0.44,0.29,-0.45
1692,0,1301,3091,2439,2387,2541,0.28,-1.82,10.27,0.60,0.45,-0.49
1712,0,1308,3040,2289,2286,1977,-0.25,-1.97,11.03,0.84,0.68,-0.52
1732,0,1303,2967,2066,2126,1782,-0.65,-1.68,10.95,1.17,0.64,-0.63
1752,0,1265,2844,1556,1983,1618,-1.26,-1.18,12.13,1.25,0.14,-0.64
1772,0,1271,2691,877,1572,829,-0.40,-0.79,12.61,1.11,-0.83,-0.75
1792,0,1284,2613,406,739,724,0.14,-0.91,13.01,0.99,-0.99,-0.90
1812,0,1282,2566,5,2,740,0.79,-0.75,13.31,1.08,-0.75,-0.92
1832,0,1288,1731,3,1,540,0.96,0.06,13.23,1.03,-0.84,-0.87
1852,0,1291,1182,1,0,0,1.50,1.10,14.02,0.87,-1.18,-0.83
1872,0,1297,0,6,1,0,2.23,1.59,15.09,0.54,-1.26,-0.79
1892,0,1299,2,5,1,0,2.84,1.85,15.35,0.24,-1.15,-0.66
1912,0,1295,1,0,2,2,2.93,2.85,14.96,-0.02,-1.15,-0.46
1932,0,1240,546,0,0,0,3.01,2.82,14.40,-0.23,-1.46,-0.28
1952,0,882,901,1,2,0,3.54,3.60,14.31,-0.28,-1.82,-0.23
1972,0,1028,953,0,0,1,4.12,4.21,13.86,-0.42,-1.99,-0.05
1992,0,753,1379,1,3,1,4.32,4.76,13.42,-0.85,-1.92,0.20
2012,0,1018,1785,282,0,1,4.36,5.39,11.92,-1.07,-1.91,0.37
2032,0,1192,1968,430,0,0,4.94,4.51,10.81,-1.77,-1.71,0.77
2052,0,1207,2036,720,4,1,3.91,5.07,9.47,-2.04,-2.09,0.78
2072,0,1210,2161,1413,1,0,4.24,4.25,9.08,-1.78,-2.27,0.97
