t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
822,1,1387,0,54,0,5,-0.27,8.68,4.88,-0.09,0.01,-0.00
842,1,1391,9,5,6,5,-0.22,8.82,4.69,-0.01,-0.06,-0.02
862,1,1383,0,17,0,0,-0.15,8.97,4.71,-0.03,-0.08,-0.01
882,1,1382,4,0,6,7,-0.14,8.98,4.63,-0.08,-0.05,-0.02
902,1,1381,0,1,0,0,-0.16,8.96,4.47,-0.09,-0.03,-0.01
922,1,1383,5,16,2,2,-0.22,8.81,4.48,-0.07,-0.05,-0.03
942,1,1385,0,0,0,1,-0.18,8.84,4.49,-0.02,-0.07,-0.04
962,1,1390,0,0,0,0,-0.11,8.92,4.43,0.01,-0.07,-0.05
982,1,1385,0,0,2,6,-0.11,8.97,4.38,-0.01,-0.04,-0.04
1002,1,1382,0,4,0,0,-0.07,8.91,4.33,-0.01,-0.02,-0.03
1022,1,1384,5,0,1,1,-0.06,9.01,4.36,-0.03,-0.00,-0.04
1042,1,1378,3,10,4,0,-0.01,9.03,4.44,-0.04,0.01,-0.04
1062,1,1382,0,0,2,6,-0.08,9.00,4.45,-0.04,0.05,-0.02
1082,1,1382,2,0,0,7,-0.08,9.08,4.55,-0.04,0.05,-0.01
1102,1,1378,4,1,0,1,-0.08,9.01,4.63,-0.06,0.05,-0.01
1122,1,1387,1,0,1,0,-0.10,9.11,4.57,-0.04,0.05,0.00
1142,1,1385,0,0,0,1,-0.06,9.01,4.75,-0.06,0.06,0.00
1162,1,1390,1,2,5,3,-0.07,9.00,4.59,-0.05,0.06,0.01
1182,1,1390,0,0,0,2,-0.13,8.94,4.70,-0.06,0.07,0.02
1202,1,1387,2,0,2,2,-0.19,8.92,4.64,-0.05,0.06,0.02
1222,1,1393,5,0,1,1,-0.18,8.95,4.74,-0.04,0.04,0.03
1242,1,1393,4,2,6,0,-0.16,9.08,4.62,-0.05,0.02,0.03
1262,1,1390,0,0,1,0,-0.14,9.12,4.76,-0.06,-0.00,0.04
1282,1,1390,1,0,6,0,-0.15,9.06,4.62,-0.07,-0.01,0.05
1302,1,1392,0,3,4,0,-0.04,8.91,4.68,-0.03,-0.04,0.06
1322,1,1390,4,1,0,5,-0.15,8.78,4.58,-0.03,-0.05,0.05
1342,1,1398,1,0,1,9,-0.16,8.70,4.68,-0.03,-0.06,0.04
1362,1,1392,12,13,1,1,-0.12,8.73,4.54,-0.03,-0.06,0.02
1382,1,1391,0,0,5,0,-0.17,8.78,4.64,-0.03,-0.05,0.01
1402,1,1397,9,1,0,2,-0.06,8.88,4.62,-0.03,-0.05,0.00
1422,1,1412,1,1,0,0,-0.13,8.92,4.60,-0.03,-0.02,0.00
1442,1,1420,0,7,2,9,-0.12,9.00,4.47,-0.03,-0.01,0.01
1462,1,1421,4,0,0,0,-0.15,8.86,4.52,-0.06,0.01,0.01
1482,1,1420,3,9,3,0,-0.09,8.82,4.63,-0.05,0.00,0.01
1502,1,1411,0,6,0,9,-0.11,8.93,4.56,-0.03,0.01,-0.00
1522,1,1420,2,21,0,0,-0.12,8.89,4.52,-0.01,-0.00,0.00
1542,1,1416,0,18,4,2,-0.06,8.95,4.64,-0.02,0.00,0.00
1562,1,1419,0,6,0,2,-0.02,8.89,4.67,-0.02,0.01,-0.00
1582,1,1416,0,2,3,1,0.02,8.89,4.56,-0.01,0.02,-0.00
1602,1,1420,0,0,0,3,-0.03,9.03,4.70,-0.01,0.01,0.00
1622,1,1416,5,1,1,2,-0.00,9.05,4.74,-0.05,0.02,0.02
1642,1,1422,1,0,0,0,-0.02,8.91,4.65,-0.05,0.04,0.03
1662,1,1419,5,0,3,0,-0.06,8.91,4.72,-0.01,0.02,0.04
1682,1,1420,3,8,2,6,-0.10,8.96,4.65,-0.00,-0.01,0.04
1702,1,1420,0,0,0,0,0.02,8.91,4.67,-0.02,-0.01,0.04
1722,1,1423,2,0,1,9,-0.09,8.98,4.60,-0.04,0.02,0.04
1742,1,1420,0,0,12,0,-0.06,9.07,4.60,-0.05,0.02,0.04
1762,1,1418,7,3,0,0,-0.12,9.10,4.62,-0.07,0.02,0.03
1782,1,1423,2,7,4,0,-0.15,8.93,4.64,-0.07,0.02,0.05
1802,1,1417,2,0,1,0,-0.17,8.94,4.70,-0.05,-0.01,0.06
1822,1,1420,4,0,0,0,-0.20,8.89,4.58,-0.05,-0.03,0.04
1842,1,1423,2,11,6,0,-0.07,8.88,4.56,-0.05,-0.02,0.02
1862,1,1416,0,0,3,0,-0.01,8.95,4.61,-0.06,-0.01,0.01
1882,1,1422,0,0,3,1,-0.01,8.98,4.64,-0.07,0.02,0.02
1902,1,1424,0,0,37,2,0.02,9.10,4.56,-0.08,0.01,0.02
1922,1,1418,0,1,0,0,0.01,8.99,4.56,-0.08,0.01,0.03
1942,1,1426,1,1,0,1,0.03,9.00,4.66,-0.05,0.00,0.03
1962,1,1426,1,0,5,6,0.07,8.98,4.56,-0.05,-0.00,0.04
1982,1,1428,1,0,9,3,0.09,8.95,4.53,-0.04,-0.02,0.05
2002,1,1426,1,3,6,4,0.06,9.04,4.69,-0.07,-0.01,0.05
2022,1,1432,2,0,0,0,-0.07,8.95,4.62,-0.12,0.02,0.07
2042,1,1437,0,1,1,2,-0.00,8.88,4.84,-0.09,-0.03,0.08
2062,1,1433,1,4,0,0,-0.02,8.93,4.75,-0.04,-0.04,0.07
2082,1,1429,3,14,2,0,0.03,9.00,4.68,-0.00,-0.05,0.08
2102,1,1436,0,7,9,3,0.08,8.89,4.64,-0.00,-0.06,0.09
2122,1,1436,0,7,3,1,0.17,8.94,4.61,-0.03,-0.05,0.08
2142,1,1442,0,15,0,2,0.09,8.83,4.65,-0.04,-0.04,0.08
2162,1,1436,0,0,6,0,0.11,8.97,4.72,-0.04,-0.03,0.07
2182,1,1441,0,7,0,0,0.13,9.00,4.56,-0.02,-0.04,0.07
2202,1,1442,3,0,2,1,0.39,9.05,4.70,0.03,-0.09,0.09
2222,1,1445,0,0,0,2,0.68,9.58,5.03,0.08,-0.08,0.11
2242,1,1443,0,0,0,6,1.33,10.35,5.46,0.11,-0.02,0.15
2262,1,1442,6,1,2,1,2.21,11.15,6.05,0.15,0.03,0.21
2282,1,1442,0,0,2,2,3.17,12.36,6.52,0.43,0.05,0.29
2302,1,1433,0,0,0,0,4.15,14.93,6.90,0.94,0.27,0.53
2322,1,1432,4,0,1,5,4.68,17.49,7.12,1.05,0.64,1.06
2342,1,1449,0,0,0,9,4.73,18.27,6.72,0.54,1.07,1.79
2362,1,1460,1,0,0,0,3.60,17.78,5.60,-0.12,1.32,2.32
2382,1,1462,0,3,2,5,2.83,16.90,4.71,-0.41,1.20,2.61
2402,1,1453,0,0,5,0,2.62,15.56,3.46,-0.25,1.40,2.88
2422,1,1456,5,0,3,0,2.54,14.91,2.97,0.31,2.02,3.24
2442,1,1426,0,0,0,8,1.40,13.67,2.33,0.26,2.42,3.51
2462,1,1423,2,5,0,1,1.14,12.07,0.92,0.20,2.74,3.63
2482,1,1434,0,0,0,0,0.63,10.39,0.25,0.57,3.44,3.76
2502,1,1407,1,13,752,4,0.48,8.91,-0.03,1.08,4.22,3.93
2522,1,1357,482,665,1434,2,-0.25,8.08,1.66,0.22,4.37,3.46
2542,1,1355,614,1306,1808,7,0.04,6.96,-0.78,-1.02,4.37,3.03
2562,1,1360,678,1469,1884,0,-3.44,5.41,8.42,-2.70,4.37,2.34
2582,1,1368,1139,1861,2013,10,-3.42,1.81,4.69,-0.06,2.69,3.38
2602,1,1362,1268,1986,2094,0,-1.96,4.00,-0.30,1.76,0.92,3.62
2622,1,1355,1126,2192,2170,0,-2.03,0.88,3.52,1.94,0.12,3.25
2642,1,1350,765,2039,2277,4,-2.48,3.09,4.99,1.35,0.85,2.98
2662,1,1340,302,1867,2442,5,-1.22,3.27,4.11,0.81,1.76,2.00
2682,1,1315,0,1733,2484,2,-1.11,1.36,3.51,0.63,2.60,1.39
2702,1,1342,588,1651,2485,12,-1.59,5.90,5.65,-0.24,2.73,0.83
2722,1,1307,987,2427,2556,1,-6.19,-0.20,15.11,-2.10,-0.80,-1.11
2742,1,1351,635,2361,2608,57,1.26,1.13,7.24,-2.30,-3.29,-1.49
2762,1,1463,257,2308,2512,65,2.65,4.58,7.13,1.66,-1.40,-0.08
2782,1,1464,1,2271,2492,73,3.99,7.48,4.76,1.06,-1.53,0.21
2802,1,1461,0,2254,2470,73,5.96,8.25,5.45,0.89,-0.15,-0.01
2822,1,1437,3,2238,2503,72,5.03,7.59,6.50,0.53,-0.41,-0.01
3826,1,1683,2915,2770,2592,2958,3.66,17.37,4.25,3.43,0.24,-2.71
3846,1,1688,2914,2755,2585,2940,3.79,17.00,2.62,1.35,0.30,-2.20
3866,1,1560,2905,2739,2569,2935,4.11,17.01,2.92,-0.57,-0.57,-1.80
3886,1,1490,2901,2737,2570,2939,6.40,14.91,2.44,-0.36,-0.43,-1.25
3906,1,1358,2893,2758,2558,2939,7.50,14.13,2.08,0.60,-0.16,-0.65
3926,1,1181,2889,2750,2563,2944,7.47,13.56,2.75,0.51,-0.30,-0.26
3946,1,1085,2890,2747,2590,2950,7.56,12.14,2.72,0.02,-0.27,-0.03
3966,1,982,2887,2735,2584,2940,7.12,10.64,2.76,-0.16,-0.37,0.21
3986,1,996,2878,2741,2608,2939,6.73,9.52,3.27,-0.31,-0.23,0.33
4006,1,976,2882,2740,2610,2942,6.19,8.78,3.06,-0.35,0.23,0.32
4026,1,1022,2868,2753,2612,2942,5.52,8.52,2.98,-0.42,0.23,0.26
4046,1,1023,2862,2748,2609,2938,5.24,8.57,2.80,-0.25,0.08,0.26
4066,1,967,2862,2741,2600,2932,4.69,8.40,2.86,-0.31,-0.06,0.24
4086,1,906,2866,2734,2601,2930,4.60,7.98,2.72,-0.41,-0.16,0.22
4106,1,792,2865,2729,2594,2924,4.25,7.56,2.60,-0.39,-0.17,0.19
4126,1,533,2869,2715,2586,2916,3.84,7.27,2.30,-0.23,-0.06,0.13
4146,1,346,2864,2710,2577,2902,3.51,7.12,2.24,-0.11,0.04,0.06
4166,1,350,2849,2707,2531,2886,3.09,7.11,1.88,-0.07,0.13,-0.02
4186,1,96,2795,2671,2520,2858,2.65,7.04,1.64,-0.05,0.25,-0.07
4206,1,170,2748,2604,2484,2821,2.55,7.31,1.17,0.04,0.58,-0.07
4226,1,891,2578,2526,2388,2766,3.65,7.71,1.52,-0.27,0.96,0.05
4246,1,1278,2314,2471,2202,2692,1.75,6.98,0.87,0.04,1.22,-0.21
4266,1,1303,1043,2386,2092,2449,3.34,5.80,-2.32,0.50,2.13,-0.24
4286,1,1349,0,2226,1806,2010,2.13,8.91,0.66,1.37,1.02,-0.29
4306,1,1292,0,2103,1218,1674,3.89,10.25,-0.22,1.61,1.48,-0.81
4326,1,1246,1,1197,486,0,3.16,12.80,0.26,1.83,2.18,-0.98
4346,1,1244,1,180,0,5,6.05,14.49,-1.57,3.62,3.94,-0.90
4366,1,1210,1,0,1,6,7.63,17.65,-2.58,4.37,3.92,-0.30
4386,1,1253,1,2,501,0,7.79,19.58,-0.62,4.37,3.76,0.48
4406,1,1287,0,5,834,0,8.19,18.01,-2.16,3.02,3.44,0.99
4426,1,1303,2,21,890,1,7.77,16.45,-1.09,1.98,3.87,1.26
4446,1,1299,1,715,1234,0,6.65,14.60,0.23,1.23,4.37,1.45
4466,1,1282,2,836,1842,4,4.99,13.12,0.87,0.57,4.37,1.65
4486,1,1278,0,1041,2133,0,3.50,9.82,2.37,0.12,4.37,1.84
4506,1,1265,0,1583,2288,3,1.98,8.68,3.39,0.61,4.37,2.06
4526,1,1243,1,1852,2395,3,1.35,8.53,2.64,0.91,4.37,2.11
4546,1,1233,2,1980,2420,0,0.84,7.39,3.81,0.72,4.00,2.13
4566,1,1264,0,1998,2533,5,0.62,6.75,3.76,0.69,3.89,2.04
4586,1,1264,1,2021,2564,1,0.05,5.81,4.06,0.52,3.62,1.90
4606,1,1237,0,2015,2541,1,0.07,5.46,5.61,0.61,3.36,1.64
4626,1,1264,1,2027,2521,4,0.26,5.94,4.94,0.55,3.36,1.27
4646,1,1284,0,2011,2521,1,0.69,6.12,4.80,0.41,2.95,0.87
4666,1,1264,1,2002,2512,57,1.52,6.50,3.54,0.11,2.30,0.55
4686,1,1294,1,1979,2492,62,1.41,6.39,4.60,0.06,1.63,0.48
4706,1,1301,3,1837,2469,56,0.99,7.13,5.07,0.09,1.46,0.45
4726,1,1276,1,1376,2431,62,0.30,7.03,7.57,-0.95,0.32,-0.25
4746,1,1280,2,1694,2433,87,1.16,4.88,5.90,-1.95,-0.29,-0.66
4766,1,1256,2,1886,2420,91,1.28,4.60,4.22,-1.30,-0.08,-0.60
4786,1,1267,1,2139,2405,85,2.72,7.55,4.31,0.14,-0.88,-0.16
4806,1,1243,4,2114,2423,78,3.52,9.77,3.92,0.64,-1.00,0.22
4826,1,1293,2,1677,2458,72,3.29,9.75,5.58,-0.08,-0.60,0.04
4846,1,1295,2,1642,2486,82,3.13,8.71,5.40,-0.78,-0.22,-0.31
4866,1,1306,4,1625,2535,95,2.95,8.52,4.85,-0.75,-0.49,-0.37
4886,1,1329,0,2109,2578,95,3.57,8.46,3.96,-0.27,-0.99,-0.18
4906,1,1310,0,2029,2594,99,4.61,8.82,3.69,-0.08,-0.97,-0.09
4926,1,1320,0,1866,2639,99,5.04,8.51,3.28,-0.16,-0.57,-0.17
4946,1,1322,3,2157,2661,97,5.97,8.32,2.93,-0.24,-0.52,-0.24
4966,1,1354,1,2215,2658,95,6.42,7.43,3.51,-0.35,-0.62,-0.27
4986,1,1311,0,2160,2638,90,6.88,6.24,3.51,-0.28,-0.80,-0.33
5006,1,1287,2,2183,2498,87,7.47,5.54,3.93,0.16,-1.18,-0.30
5026,1,1334,0,2060,2313,25,7.69,6.17,4.33,-0.16,-1.35,-0.43
5046,1,1363,5,1752,2228,2,7.48,5.91,4.69,-0.85,-1.48,-0.76
5066,1,1349,2,1633,2194,1,6.95,4.75,4.76,-1.24,-1.24,-0.95
5086,1,1350,1,1519,2013,0,6.63,3.95,4.81,-0.80,-0.87,-0.75
