t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
822,2,1334,1,0,0,0,1.06,9.79,-0.48,-0.06,0.03,0.00
842,2,1332,0,0,0,6,1.07,9.66,-0.49,-0.07,0.04,0.01
862,2,1340,0,0,0,2,1.04,9.65,-0.52,-0.04,0.04,0.00
882,2,1329,1,0,0,0,1.06,9.65,-0.60,-0.02,0.03,-0.02
902,2,1333,0,7,1,10,1.01,9.82,-0.42,-0.02,0.03,-0.02
922,2,1331,0,0,7,0,1.07,9.75,-0.54,-0.03,0.05,-0.01
942,2,1329,17,8,0,1,1.11,9.78,-0.48,-0.02,0.05,-0.02
962,2,1330,1,0,9,5,1.05,9.85,-0.49,-0.02,0.06,-0.03
982,2,1335,0,0,0,13,1.06,9.78,-0.50,-0.01,0.06,-0.02
1002,2,1338,0,13,0,7,1.14,9.83,-0.42,-0.01,0.05,-0.01
1022,2,1335,6,21,1,1,1.15,9.93,-0.50,-0.02,0.06,-0.01
1042,2,1330,0,0,0,0,1.15,9.90,-0.48,-0.03,0.08,-0.00
1062,2,1345,10,4,0,0,1.03,9.94,-0.41,-0.04,0.07,0.00
1082,2,1336,10,11,4,6,1.05,9.96,-0.44,-0.04,0.06,0.01
1102,2,1328,0,9,0,0,1.04,9.88,-0.24,-0.03,0.05,0.03
1122,2,1347,9,14,3,14,1.01,9.73,-0.30,-0.04,0.04,0.04
1142,2,1345,0,15,0,0,0.96,9.79,-0.40,-0.04,0.02,0.04
1162,2,1330,0,2,2,6,0.98,9.88,-0.40,-0.05,0.01,0.03
1182,2,1354,5,0,8,4,1.07,9.92,-0.46,-0.07,0.02,0.04
1202,2,1337,2,2,1,8,1.00,9.85,-0.50,-0.07,0.02,0.05
1222,2,1348,0,0,1,0,1.04,9.69,-0.41,-0.05,0.01,0.06
1242,2,1334,0,0,5,0,1.06,9.64,-0.38,-0.05,0.01,0.05
1262,2,1337,8,11,0,2,1.01,9.68,-0.37,-0.03,-0.00,0.03
1282,2,1342,11,0,0,0,1.03,9.84,-0.44,-0.05,-0.00,0.02
1302,2,1337,0,2,2,11,1.01,9.81,-0.40,-0.07,-0.00,0.02
1322,2,1343,0,0,0,0,1.04,9.81,-0.32,-0.06,-0.01,0.03
1342,2,1346,3,11,3,2,1.10,9.84,-0.44,-0.05,-0.01,0.04
1362,2,1348,0,0,1,0,1.05,9.89,-0.36,-0.03,-0.03,0.04
1382,2,1350,2,1,0,0,1.16,10.13,-0.52,-0.04,-0.03,0.05
1402,2,1341,0,3,1,1,1.19,10.11,-0.44,-0.08,-0.04,0.09
1422,2,1340,0,0,0,0,1.25,10.30,-0.37,-0.08,-0.03,0.12
1442,2,1347,1,0,0,0,1.44,10.27,-0.34,-0.10,-0.04,0.17
1462,2,1341,2,1,0,7,1.45,10.27,-0.24,-0.08,-0.08,0.22
1482,2,1341,4,6,0,0,1.59,10.43,-0.31,-0.07,-0.08,0.25
1502,2,1344,0,0,9,0,1.70,10.49,-0.17,-0.15,-0.08,0.28
1522,2,1342,1,0,0,0,1.65,10.74,-0.23,-0.28,-0.01,0.32
1542,2,1330,3,8,0,0,1.85,10.58,-0.08,-0.38,0.04,0.37
1562,2,1337,3,1,14,0,1.83,10.22,-0.07,-0.46,0.08,0.42
1582,2,1331,8,3,1,0,1.68,9.89,-0.02,-0.46,0.10,0.45
1602,2,1346,5,18,0,0,1.65,9.80,-0.06,-0.40,0.03,0.47
1622,2,1346,9,5,5,8,1.65,9.59,0.04,-0.36,-0.02,0.47
1642,2,1339,6,1,0,0,1.80,9.76,0.07,-0.30,-0.04,0.47
1662,2,1337,0,4,8,5,1.83,9.79,0.06,-0.26,-0.05,0.45
1682,2,1350,1,11,0,7,1.88,9.93,0.18,-0.24,-0.06,0.46
1702,2,1349,2,7,0,1,2.12,10.06,0.26,-0.24,-0.09,0.51
1722,2,1352,0,22,0,12,2.28,10.01,0.24,-0.26,-0.12,0.55
1742,2,1342,0,0,0,6,2.56,9.95,0.47,-0.29,-0.11,0.58
1762,2,1352,5,19,12,0,2.66,9.80,0.63,-0.29,-0.05,0.54
1782,2,1337,0,1,2,2,2.72,9.94,0.69,-0.26,-0.04,0.51
1802,2,1357,0,4,6,8,2.89,10.37,0.66,-0.21,-0.12,0.55
1822,2,1342,6,18,7,13,3.27,10.52,0.68,-0.20,-0.19,0.62
1842,2,1354,1,1,0,0,3.47,10.35,0.77,-0.22,-0.16,0.69
1862,2,1359,0,19,1,12,3.18,9.90,2.44,-0.11,-0.25,0.75
1882,2,1353,1,12,0,18,3.74,9.93,0.85,-0.13,-0.14,0.78
1902,2,1356,0,0,0,1,3.83,10.27,0.72,-0.13,-0.17,0.80
1922,2,1355,1,0,3,7,3.79,10.56,0.69,-0.21,-0.18,0.84
1942,2,1354,0,18,0,6,3.81,11.46,0.18,-0.21,-0.18,0.88
1962,2,1358,0,0,1,11,4.53,12.73,-0.11,-0.02,-0.36,0.81
1982,2,1353,13,11,1,0,5.80,12.23,0.32,-0.00,-0.60,0.95
2002,2,1338,0,1,9,5,7.42,12.61,0.09,0.01,-0.46,1.43
2022,2,1351,0,5,0,1,8.56,13.62,0.47,-0.11,-0.06,1.98
2042,2,1353,685,0,0,4,8.37,13.29,1.16,-0.64,0.25,2.34
2062,2,1338,1329,4,7,0,8.53,11.94,1.39,-1.20,0.47,2.49
2082,2,1351,1156,0,0,0,8.43,11.04,1.86,-1.26,0.32,2.64
2102,2,1351,0,21,0,10,8.41,9.57,2.13,-1.40,0.16,2.82
2122,2,1355,0,3,6,46,9.00,8.93,1.86,-1.76,0.01,3.13
2142,2,1350,7,10,0,1264,8.36,7.69,2.42,-2.05,0.18,3.27
2162,2,1354,474,258,13,1522,6.50,6.21,2.73,-2.51,0.15,3.27
2182,2,1338,658,1085,0,1833,6.03,5.81,2.60,-2.97,-0.50,2.98
2202,2,1303,797,1616,831,2121,4.39,3.94,4.31,-4.25,-0.89,2.93
2222,2,1213,787,1842,907,2531,6.23,2.69,2.31,-4.36,-0.54,2.43
2242,2,1326,793,2020,1517,2699,5.06,0.35,2.24,-4.37,0.09,1.72
